dataset,dataset_title,equation,trial,obs_fraction,noise_fraction,candidate,candidate_family,accepted_by_noharm,chosen_safe_output,certificate_rank,radius,baseline_radius,certificate_ratio,hidden_rel_error,baseline_hidden_rel_error,hidden_error_ratio,data_residual,pde_residual,bc_residual,ic_residual,spectral_residual,noise_bound,physics_gain_over_data_only,data_only_hidden_error,physics_candidate_hidden_error,physics_necessary,physics_unnecessary,physics_rejected,unsafe_if_selected,notes
nls,Nonlinear Schrodinger,i u_t + 0.5 u_xx + |u|^2 u = 0,3,0.1,0.05,physics_filtered_s0.8,physics_informed,True,physics_filtered_s1.3,4,8.80251666892238,13.398063718110501,0.6569991645153276,0.0341940359527235,0.041502581413459264,0.8239014246186261,0.004682071996825426,58.093964178959396,0.641354114227179,0.0325049295277645,0.0006333791985113909,0.050015348933970985,0.014195692529238878,0.045367960567901384,0.031172268038662507,True,False,False,False,physics-filtered candidate selected by residual-calibrated certificate
nls,Nonlinear Schrodinger,i u_t + 0.5 u_xx + |u|^2 u = 0,3,0.1,0.05,physics_filtered_s1.3,physics_informed,True,physics_filtered_s1.3,3,6.259380987541541,13.398063718110501,0.46718549181700864,0.031172268038662507,0.041502581413459264,0.7510922688727566,0.008307381412209939,41.1432889807923,0.5617266890070027,0.02898338213441533,0.0005881303889126758,0.050015348933970985,0.014195692529238878,0.045367960567901384,0.031172268038662507,True,False,False,False,physics-filtered candidate selected by residual-calibrated certificate
nls,Nonlinear Schrodinger,i u_t + 0.5 u_xx + |u|^2 u = 0,3,0.1,0.05,physics_filtered_s2,physics_informed,False,physics_filtered_s1.3,2,4.9685763352989625,13.398063718110501,0.3708428650464202,0.03427997096172806,0.041502581413459264,0.8259720189304927,0.015142061399038387,32.51560609157413,0.4927131785945192,0.02826697799375067,0.000580068008422825,0.050015348933970985,0.014195692529238878,0.045367960567901384,0.031172268038662507,True,False,False,False,physics-filtered candidate selected by residual-calibrated certificate
nls,Nonlinear Schrodinger,i u_t + 0.5 u_xx + |u|^2 u = 0,4,0.1,0.05,baseline_linear,baseline,True,physics_filtered_s1.3,5,12.813968701953888,12.813968701953888,0.999999999999922,0.04123782737269759,0.04123782737269759,0.9999999999757504,0.0,84.7696432970953,0.9392137458954575,0.04280404912746392,0.0008643480067733177,0.04937810023810865,0.015254775553423288,0.04527156769704856,0.030016792143625275,True,False,False,False,old inverse baseline: interpolation from sparse/noisy observations
nls,Nonlinear Schrodinger,i u_t + 0.5 u_xx + |u|^2 u = 0,4,0.1,0.05,data_only_lowrank,data_only,False,physics_filtered_s1.3,7,14.490094424549604,12.813968701953888,1.1308045744125321,0.04527156769704856,0.04123782737269759,1.0978165092645928,0.0,95.93357899945673,0.9704798036492356,0.041973099377503584,0.00113658483296623,0.04937810023810865,0.015254775553423288,0.04527156769704856,0.030016792143625275,True,False,False,False,data-driven candidate without PDE residual selection
nls,Nonlinear Schrodinger,i u_t + 0.5 u_xx + |u|^2 u = 0,4,0.1,0.05,risky_sensor_overfit,risky,False,physics_filtered_s1.3,8,103.89713981162973,12.813968701953888,8.108115621960218,0.20857747990024972,0.04123782737269759,5.0579163157680105,0.0,690.80097259377,4.255208550707046,0.2618699339010002,0.03523796191419936,0.04937810023810865,0.015254775553423288,0.04527156769704856,0.030016792143625275,True,False,False,False,fits observed points but injects high-frequency nonphysical structure
nls,Nonlinear Schrodinger,i u_t + 0.5 u_xx + |u|^2 u = 0,4,0.1,0.05,underfit_oversmooth,underfit,False,physics_filtered_s1.3,1,3.4801518758538563,12.813968701953888,0.2715904772986473,0.04930009802549937,0.04123782737269759,1.195506678340287,0.03954461236069935,22.407668972521375,0.5622944962320229,0.0387774907926628,0.0005043605121677997,0.04937810023810865,0.015254775553423288,0.04527156769704856,0.030016792143625275,True,False,False,False,oversmoothed challenge candidate; shown for diagnosis but not eligible for safe replacement
nls,Nonlinear Schrodinger,i u_t + 0.5 u_xx + |u|^2 u = 0,4,0.1,0.05,physics_filtered_s0.4,physics_informed,False,physics_filtered_s1.3,6,13.396088278117267,12.813968701953888,1.045428515528805,0.04284644671443451,0.04123782737269759,1.0390083436297357,0.0005590211551101998,88.64911774548206,0.9346523801158736,0.040023237074110596,0.0009942808448290777,0.04937810023810865,0.015254775553423288,0.04527156769704856,0.030016792143625275,True,False,False,False,physics-filtered candidate selected by residual-calibrated certificate
nls,Nonlinear Schrodinger,i u_t + 0.5 u_xx + |u|^2 u = 0,4,0.1,0.05,physics_filtered_s0.8,physics_informed,True,physics_filtered_s1.3,4,8.597799340908646,12.813968701953888,0.6709708397833821,0.0335623300690209,0.04123782737269759,0.8138724129396716,0.004543370419630977,56.687824472429064,0.7804892617236477,0.0329971337544684,0.0005975922528009493,0.04937810023810865,0.015254775553423288,0.04527156769704856,0.030016792143625275,True,False,False,False,physics-filtered candidate selected by residual-calibrated certificate
nls,Nonlinear Schrodinger,i u_t + 0.5 u_xx + |u|^2 u = 0,4,0.1,0.05,physics_filtered_s1.3,physics_informed,True,physics_filtered_s1.3,3,6.082670460811332,12.813968701953888,0.4746905976041103,0.030016792143625275,0.04123782737269759,0.7278946068524128,0.008101017869745172,39.924847973615435,0.6979120285034394,0.030813100968705473,0.0005578037511098313,0.04937810023810865,0.015254775553423288,0.04527156769704856,0.030016792143625275,True,False,False,False,physics-filtered candidate selected by residual-calibrated certificate
nls,Nonlinear Schrodinger,i u_t + 0.5 u_xx + |u|^2 u = 0,4,0.1,0.05,physics_filtered_s2,physics_informed,False,physics_filtered_s1.3,2,4.819402842067142,12.813968701953888,0.37610540139152193,0.03246649684269105,0.04123782737269759,0.7872989172896852,0.014860053322455132,31.482597747101817,0.6237676510207705,0.03117802070111285,0.0005548571042466071,0.04937810023810865,0.015254775553423288,0.04527156769704856,0.030016792143625275,True,False,False,False,physics-filtered candidate selected by residual-calibrated certificate
nls,Nonlinear Schrodinger,i u_t + 0.5 u_xx + |u|^2 u = 0,5,0.1,0.05,baseline_linear,baseline,True,physics_filtered_s1.3,5,13.465140057778317,13.465140057778317,0.9999999999999257,0.04288435977196668,0.04288435977196668,0.9999999999766815,0.0,89.11955522097166,0.8514447660398572,0.06592525862365432,0.0009039891284902396,0.051293073942965894,0.013992597006185208,0.04666776029573599,0.03267516328955078,True,False,False,False,old inverse baseline: interpolation from sparse/noisy observations
nls,Nonlinear Schrodinger,i u_t + 0.5 u_xx + |u|^2 u = 0,5,0.1,0.05,data_only_lowrank,data_only,False,physics_filtered_s1.3,7,15.274833242019044,13.465140057778317,1.1343983929223371,0.04666776029573599,0.04288435977196668,1.0882233183099606,0.0,101.15606213900868,0.942147903186311,0.05927071296551348,0.0011983283436872365,0.051293073942965894,0.013992597006185208,0.04666776029573599,0.03267516328955078,True,False,False,False,data-driven candidate without PDE residual selection
nls,Nonlinear Schrodinger,i u_t + 0.5 u_xx + |u|^2 u = 0,5,0.1,0.05,risky_sensor_overfit,risky,False,physics_filtered_s1.3,8,103.81930323176587,13.465140057778317,7.710228247628629,0.20473281486957584,0.04288435977196668,4.774067187978279,0.0,690.3516008766725,4.1689658705510695,0.10123873603550648,0.03519591985387319,0.051293073942965894,0.013992597006185208,0.04666776029573599,0.03267516328955078,True,False,False,False,fits observed points but injects high-frequency nonphysical structure
nls,Nonlinear Schrodinger,i u_t + 0.5 u_xx + |u|^2 u = 0,5,0.1,0.05,underfit_oversmooth,underfit,False,physics_filtered_s1.3,1,3.488890514758009,13.465140057778317,0.2591054010420297,0.05310767908901895,0.04288435977196668,1.2383927233652399,0.03946716636882532,22.470597737785145,0.5015298228438465,0.04877453689815644,0.0005079158269297496,0.051293073942965894,0.013992597006185208,0.04666776029573599,0.03267516328955078,True,False,False,False,oversmoothed challenge candidate; shown for diagnosis but not eligible for safe replacement
nls,Nonlinear Schrodinger,i u_t + 0.5 u_xx + |u|^2 u = 0,5,0.1,0.05,physics_filtered_s0.4,physics_informed,False,physics_filtered_s1.3,6,14.059910361599353,13.465140057778317,1.0441711189982323,0.04428540908432349,0.04288435977196668,1.0326704028875346,0.0005973968645312296,93.06592506854122,0.9048195979052958,0.056757189316875144,0.001045822991277318,0.051293073942965894,0.013992597006185208,0.04666776029573599,0.03267516328955078,True,False,False,False,physics-filtered candidate selected by residual-calibrated certificate
nls,Nonlinear Schrodinger,i u_t + 0.5 u_xx + |u|^2 u = 0,5,0.1,0.05,physics_filtered_s0.8,physics_informed,True,physics_filtered_s1.3,4,8.801988213659689,13.465140057778317,0.6536870894688132,0.03542196933224123,0.04288435977196668,0.825988064641003,0.004842115744558551,58.04142176232278,0.7459473720442942,0.04622690666180016,0.000620913768840689,0.051293073942965894,0.013992597006185208,0.04666776029573599,0.03267516328955078,True,False,False,False,physics-filtered candidate selected by residual-calibrated certificate
nls,Nonlinear Schrodinger,i u_t + 0.5 u_xx + |u|^2 u = 0,5,0.1,0.05,physics_filtered_s1.3,physics_informed,True,physics_filtered_s1.3,3,6.241604845510916,13.465140057778317,0.46353805595248204,0.03267516328955078,0.04288435977196668,0.7619366002555658,0.008558557813791681,40.975698218201735,0.6654910974395729,0.04190171901724988,0.000576804021145428,0.051293073942965894,0.013992597006185208,0.04666776029573599,0.03267516328955078,True,False,False,False,physics-filtered candidate selected by residual-calibrated certificate
